view,theta_deg,gt_P11,gt_P12,gt_P13,gt_P14,gt_P21,gt_P22,gt_P23,gt_P24,gt_P31,gt_P32,gt_P33,gt_P34,unregularized_P11,unregularized_P12,unregularized_P13,unregularized_P14,unregularized_P21,unregularized_P22,unregularized_P23,unregularized_P24,unregularized_P31,unregularized_P32,unregularized_P33,unregularized_P34,intrinsic001_P11,intrinsic001_P12,intrinsic001_P13,intrinsic001_P14,intrinsic001_P21,intrinsic001_P22,intrinsic001_P23,intrinsic001_P24,intrinsic001_P31,intrinsic001_P32,intrinsic001_P33,intrinsic001_P34
122,-60.752293577981646,765.9056646376887,21.95746227827703,-946.8837124191933,149740.77310360115,144.1088577930512,1196.75084237018,113.45523202759539,110352.6487180549,0.8696032194471631,-0.028533441031120724,0.49292604259670925,750.2092536101522,763.2023119702187,20.77308386169129,-944.8807276019604,149246.53935809998,145.9975970429232,1192.6192054162896,113.00284427385846,110043.04504079615,0.8712861415229545,-0.030630511964458255,0.4898185698060429,747.732950778254,764.9744970836093,22.478138257316175,-944.986889521486,149431.75191023547,144.18953126216775,1194.3541412443863,114.17578270954677,110113.38422011578,0.869946073685658,-0.02939568311300599,0.4922699693188965,748.790842091572
123,-60.34862385321101,771.8778458815788,21.055045119760965,-942.0557610398677,149709.8738234175,144.901016395708,1196.5827148096794,114.44276556638582,110375.49493965606,0.8664383280697346,-0.029617942614942074,0.49840485664465706,750.184730560629,769.5086775500146,20.100561417751866,-939.8727545944782,149206.36142214388,146.76422320504344,1192.4791423376369,114.34375919821588,110076.60307277503,0.8679990887523988,-0.03186281441655205,0.49554247343942337,747.7716167049024,771.1401212565469,21.58364824886486,-940.0335504872363,149403.0438793055,144.85543532791192,1194.2210453904988,115.1266608995923,110139.14622908962,0.8667003934646044,-0.030418851734224053,0.4979007144275567,748.7781221932106
124,-59.944954128440365,777.8217791870841,20.13683217012592,-937.1873463867979,149678.75215565375,145.67378130907107,1196.4166189454647,115.41530403805608,110398.34057054023,0.8632359915600433,-0.03068133557439937,0.5038673223406338,750.1604713317813,775.7863127534672,19.46057540066199,-934.7614582889956,149186.17515420163,146.6773255083041,1192.4601063969167,115.06306268262597,110089.25651464,0.8646610855767671,-0.032238525464561865,0.5013201417907298,747.7848502269588,777.3148086144685,20.994521805150043,-934.9753289008013,149388.497939491,144.86051741112493,1194.1611163414882,115.95367271706233,110148.95941822024,0.8634004473807063,-0.03091453718222065,0.503571205345982,748.7845355704852
125,-59.54128440366972,783.7376797377173,19.20400193274633,-932.2781077382072,149647.43726793877,146.4257424187834,1196.2527949270086,116.3727194229933,110421.15485995846,0.8599960666203529,-0.03172241843397104,0.5093137084020237,750.1365098334749,781.5952028796021,18.322545724779484,-930.0245829317611,149155.68521682237,147.93879473252005,1192.2685364370334,116.15331853450101,110118.86550187247,0.8615146743506441,-0.03372292168971657,0.506611518257543,747.7719001746908,783.0749934199628,20.00122976001058,-930.253944967058,149356.8245417201,145.90986283242535,1193.9854449874254,117.03824334687339,110177.76298168077,0.8602667840561214,-0.03225573074917669,0.5088227865215699,748.7761050826849
126,-59.13761467889908,789.6257567505576,18.25776118191958,-927.3276718616055,149615.95934332008,147.1554893766629,1196.0914855722667,117.314881854656,110443.90703168501,0.8567184033184866,-0.032740004358942025,0.5147442758593821,750.112879726228,787.3123950000827,17.25733088446806,-925.3645723496259,149124.85104763403,148.8323281147502,1192.190363113717,117.02509417314269,110159.35322352864,0.858392488706182,-0.03483085884858066,0.5118096781076706,747.8152658580082,788.6864779804555,18.61670386779622,-925.6378861026952,149327.2101433181,147.11701117402632,1193.8511274797886,117.73902214461141,110214.30614764483,0.8571709496458979,-0.033534334902347814,0.5139391126055757,748.763323543201
127,-58.73394495412844,795.4862132643192,17.29934481456985,-922.3356532813546,149584.34957255563,147.8616116151308,1195.9329361063756,118.24165956561976,110466.56628139912,0.8534028449760371,-0.03373292153536673,0.5201592777135623,750.0896144058705,793.7838993242896,16.8314868875717,-919.8169746277343,149109.36819572136,148.46541680909104,1192.1406926695895,117.90903697787842,110157.85434818818,0.8547697273251792,-0.03509351823524855,0.5178196193910685,747.8109399963834,794.488488118894,17.680157785685456,-920.7363459657766,149307.94612053654,147.49654459418645,1193.7809498556908,118.3997136838115,110236.862015973,0.8539203600828194,-0.034210397188312786,0.5192780251081744,748.7715713182931
128,-58.330275229357795,801.3192459102165,16.330015708431535,-917.3016545538571,149552.64014615893,148.5426983594106,1195.7773938830323,119.1529188316555,110489.10177404083,0.8500492280468394,-0.03470001355667701,0.5255589585918399,750.0667469882547,799.6075871432931,15.775365477560202,-914.830179787819,149084.29354931528,148.99792148092953,1192.0488015334765,118.58219645141781,110173.84910480659,0.8514492321812982,-0.035882904325163265,0.5232080104461982,747.7955765803349,800.2521324725174,16.70113746429675,-915.8221392540241,149288.17117394885,148.4269402209619,1193.6105900979785,119.49085942422737,110265.80416969629,0.850635107337392,-0.03546477465068718,0.524559018532786,748.7706263666162
129,-57.92660550458715,807.1250446651378,15.351064586339135,-912.2252665505606,149520.86424619856,149.19733863749795,1195.625108088572,120.04852391388755,110511.4826411373,0.8466573819861284,-0.03564013981733726,0.5309435544030982,750.0443102940243,805.0173635949006,14.249342488847669,-910.267306431097,149055.53673263054,150.56104069425672,1191.8940868095565,119.42807446121874,110224.71499183709,0.8483392908284942,-0.03744371373097857,0.5281272724813971,747.8001984043746,806.5611326363139,16.375556446546618,-910.2824429506452,149273.85482397338,148.0461075469515,1193.562341540636,120.48106016957485,110266.4028882235,0.8469828705053553,-0.03576774041085276,0.5304155784066023,748.7761612535174
130,-57.522935779816514,812.9037925866448,14.363809886231632,-907.1060687489381,149489.05603785545,149.8241212879046,1195.4763294286795,120.92833699908257,110533.67797810571,0.8432271291108308,-0.036552175913951455,0.5363132919921547,750.0223368334484,810.7822610374393,13.098495054308055,-905.2657784500894,149030.85449293486,151.41807060125606,1191.781699239966,120.28779970942387,110256.19951314424,0.8449679932358861,-0.03852660827790196,0.5334273998038727,747.8029540185318,811.974067890768,14.677395812584892,-905.6430070657975,149218.56834775078,149.91631097781385,1193.3530712219817,121.40949216695539,110314.0240218935,0.8437935157074429,-0.037594390432401065,0.535349572389938,748.7609983022096
131,-57.11926605504587,818.6556655293188,13.369597636458565,-901.9436295316192,149457.25066073224,150.42163496519373,1195.331309797722,121.79221813812751,110555.65684152924,0.8397582844514364,-0.03743501405423186,0.5416683887933094,750.0008587913105,816.6292765296937,12.259759010362547,-900.1257979417987,149004.68824239777,151.94087294940977,1191.6988584765575,121.30799926162895,110291.52398701414,0.8415079754794851,-0.039437931227483396,0.5388032820843938,747.8361243314715,818.0175701085559,14.254361966632727,-900.1963412758731,149203.99853782417,149.41999670465276,1193.341663110126,122.13752626889169,110315.95985642087,0.8401862896598301,-0.037694729495194874,0.5409862346085453,748.7821581893959
